Stock,Quarter,Close,EPS(Q),Sales(Q),EPS(TTM),Sales(TTM),PE(TTM),Prev_EPS(Q),Prev_EPS(TTM),Prev_Sales,Prev_PE,Prev_Close,FR%,SR%,TR%,Sales%,EPS%,Return%
NAUKRI.NS,2021-05-16,4291.65,23.78,297.0,109.75,1121.0,39.1,52.82,95.69,278.0,56.16,5373.8,14.69,-34.84,-20.150000000000006,6.83,-54.98,-20.150000000000006
NAUKRI.NS,2021-08-15,5428.55,11.83,327.0,113.94000000000001,1163.0,47.64,23.78,109.75,297.0,39.1,4291.65,3.82,22.67,26.490000000000002,10.1,-50.25,26.490000000000002
NAUKRI.NS,2021-11-15,6406.5,572.37,364.0,660.8000000000001,1266.0,9.7,11.83,113.94000000000001,327.0,47.64,5428.55,479.95,-461.83,18.120000000000005,11.31,4738.29,18.120000000000005
INFY.NS,2020-08-15,953.6,9.94,23665.0,40.0,92653.0,23.84,,,,,,,,,,,
INFY.NS,2020-11-15,1133.45,11.37,24570.0,41.93,94594.0,27.03,9.94,40.0,23665.0,23.84,953.6,4.82,14.03,18.85,3.82,14.39,18.85
INFY.NS,2021-02-15,1309.8,12.2,25927.0,43.66,97429.0,30.0,11.37,41.93,24570.0,27.03,1133.45,4.13,11.44,15.57,5.52,7.3,15.57
INFY.NS,2021-05-16,1316.4,11.91,26311.0,45.419999999999995,100473.0,28.98,12.2,43.66,25927.0,30.0,1309.8,4.03,-3.54,0.4900000000000002,1.48,-2.38,0.4900000000000002
INFY.NS,2021-08-15,1712.2,12.2,27896.0,47.68,104704.0,35.91,11.91,45.419999999999995,26311.0,28.98,1316.4,4.98,25.1,30.080000000000002,6.02,2.43,30.080000000000002
INFY.NS,2021-11-15,1780.2,12.89,29602.0,49.2,109736.0,36.18,12.2,47.68,27896.0,35.91,1712.2,3.19,0.78,3.9699999999999998,6.12,5.66,3.9699999999999998
KELLTONTEC.NS,2020-08-15,19.85,1.5,180.0,6.859999999999999,764.0,2.89,,,,,,,,,,,
KELLTONTEC.NS,2020-11-15,50.5,1.65,191.0,6.59,768.0,7.66,1.5,6.859999999999999,180.0,2.89,19.85,-3.94,158.36,154.42000000000002,6.11,10.0,154.42000000000002
